Text,target
"I ordered a case of 10 for $[...].00. I love this product- you cannot taste the difference in coffee, or oatmeal. I just spoon Nido in dry into anything with a lot of liquid. I don't know WHY it's so expensive from this seller.<br /><br />Here is my original review:<br /><br /> This is NOT your Mother's Powdered Milk<br /><br />I just discovered this product a couple days ago, and I am not the least bit surprised at how well it has been received. I bought it to put in coffee, in case I ran out of fresh milk or soymilk.<br /><br />I cannot tell the difference! It is enriched with vitamins and minerals, and the children's version is even better enriched with significant amounts of 19 vitamins and minerals, with a little more sugar and less fat.<br /><br />One caveat- this product is NOT fat-free, as Amazon.com states here. That would be too good to be true!<br /><br />I keep my Nido in the cupboard right next to the K-cups(coffee)and honey in my cupboard. What could be simpler?",1.0
"I bought these based on all the great reviews here. Maybe I just got a bad box, but mine were nothing like those described in all these other reviews! The cranberries were dry and tough. They were encrusted with sugar and sticky. Not very flavorful, and slightly stale tasting.<br /><br />Before trying these I had bought the Oskri brand on a lightning deal, and they were great. Plump and flavorful. But expensive, so I tried these. No comparison at all! I'm going to toss these in the trash and go back to Oskri.",0.0
"This is a fantastic product. I promote this product with all of my Visalus customers to use in their shakes. 2scoops Vi shake, 1 tbsp PB2, 1 whole banana, 8oz milk. Delicious. Cost only thing keeping it from 5 star rating.",0.0
A nicely spiced light roast coffee with the aroma and flavor of nutmeg and cinnamon. Warm and cozy for the cooler days of fall. Very good!,1.0
"This really is a DELICIOUS product and if you like peppers especially roasted peppers you will not regret trying it.  However, it is overpriced even without considering the shipping charges.  I'm taking one star off because I have been buying the same item at a local market for much less.",0.0
"I will continue to give these to my dogs. They like them and supposedly they clean their teeth.<br />I started to give these to my dog daily, but her digestive system did not like it enough for that. Most of it seems to be digestible, but she threw up green foam on the morning after the second day in a row of eating one-a-day greenies. Note that she was also constipated as well. Greenie advises to have plenty of water available for drinking these, so I am guess they know these side effects can occur. My dog has plenty of water available, but she didn't drink any more than normal, which may have resulted in the effects. I don't plan on training my dog to drink lots of extra water after eating these. Giving here one every now and then shows no negative effects, and that what I plan on doing.<br />Not a complaint to me, but I think people who like giving there dog all natural health food should know that this product is far from ""green."" It is pumped pull of artificial ingredients like a multivitamin. It is also made from concentrated grain protein, rather than the animal protein dogs should be getting. I personally don't feel that this is that big of a deal health wise for a creature than lives 12-18 years, but or people who invest the extra money on organic/natural dog food, you should be staying away from this product.",0.0
"This was the exact right color I needed for a birthday party and you get 2 huge bags for a pretty good price. I couldn't find this color in stores and even if I had, I would have spent a fortune. These bags are a good size!",1.0
"One review said this tea tasted like dirt which, in all respect, tastes more like grass that has been in dirt.  As funny as that review was, Oolong tea is an acquired taste much like coffee or other teas.  Once you've acquired the taste, it's actually one of the better oolong teas I've tasted and probably one of the most genuine.  You get 100 bags for under $10; you can't beat that.",1.0
"My office offered this item & the Apple (Orchard Spice) one briefly a couple of months ago - I love them both. I was hoping to get some on my own for those mornings I'm too busy to eat at home. I'm hoping Amazon will offer them soon. I love the separate little packets of sugar, fruit & crunchy nuts to add to the oatmeal to taste. Another plus is the size of the cup - big enough to stir the items in once hot water has been added!",1.0
"Nice packaging, great taste, and fair price. I would consider this again sometime for a gift. Its a shame they don't offer gift wrapping for this.",1.0
"Excellent tasting beverage is simply a combo of carbonated water and 100% fruit juice... and it sure is tasty! Out of the two flavors tried (black cherry flavor being the other), both tasted great, although the watermelon strawberry flavor was particularly appealing. Only problem: pricey compared to soda... but, hey, you get what you pay for. All in all, highly recommended.",1.0
"I am not picky about chewing gums, I don't remember to have ever found one I did not like.<br />This one... well I cannot say I like. The tastes vanishes SO quickly you can barely realize what it tastes like. Literally, within a minute, any flavor is gone. The texture is harder than most gums, but that is not even the problem. The point is that it feels like having a piece of tasteless rubber in your mouth after 30 seconds of chewing. Not recommended.",0.0
"Mother's Rolled Oats are thicker cut, premium oats for those who REALLY LOVE OATS! Finest quality, cook up loose and flakey, or creamy and smooth, if you prefer. You just can't find better rolled oats! Makes awesome cookies, too, and grind up in your food processor (or blender) for meatloaf or baking!",1.0
